ShowName,Attendance,NumPerformances,WeeksPerformed,GeniusID,AlbumTitle,UniquenessScore,TotalLyricCount
Thoroughly Modern Millie,1193581,903,118,327545,Thoroughly Modern Millie (Original Broadway Cast Recording) by Original Broadway Cast of Thoroughly Modern Millie,52,4658
Into The Woods '02,233472,279,38,105979,Into the Woods (Original Broadway Cast Recording) by Original Broadway Cast of Into the Woods,48,8701
Hairspray,3418653,2642,336,309169,Hairspray Live! (NBC Television Event Original Soundtrack) by Original Television Cast of Hairspray Live!,46,7430
The Boys From Syracuse,68115,73,13,325136,"The Boys from Syracuse by Original Broadway Cast of ""Boys From Syracuse""",47,3467
Movin' Out,1436759,1303,167,228774,Movin’ Out by Glee Cast,43,1887
Man Of La Mancha 02,343317,304,41,328894,Man of La Mancha by Original Broadway Cast of Man of La Mancha,48,3270
Gypsy '03,549037,451,61,160748,Gypsy (Original Broadway Cast Recording) by Jule Styne,50,3755
Big River '03,60161,67,12,415388,Big River - The Adventures of Huckleberry Finn (1985 Original Broadway Cast Recording) by Roger Miller,35,4411
Avenue Q,1731068,2534,321,336684,Avenue Q (Original Broadway Cast Recording) by Various Artists,46,8102
Little Shop Of Horrors,350389,372,52,325072,Little Shop of Horrors (Original Cast Album) by Original Off-Broadway Cast of Little Shop of Horrors,54,4565
The Boy From Oz,524857,364,51,289902,The Boy from Oz (Original Broadway Cast Recording) by Peter Allen,44,4260
Wicked,9524462,5335,669,485147,Wicked (Original Broadway Cast Recording) [Deluxe] by Various Artists,53,9105
Taboo,70160,100,15,158960,Taboo Original Broadway Cast Recording by Boy George,46,4918
Wonderful Town,449677,497,65,539411,Wonderful Town by Original Broadway Cast of Wonderful Town,42,1425
Assassins,106080,101,16,148178,Assassins (The Broadway Cast Recording) by Stephen Sondheim,46,6559
"Caroline, Or Change",120494,136,20,325973,"Caroline, or Change (Original Broadway Cast Recording) by Original Broadway Cast of Caroline, or Change",58,10240
The Frogs,117040,92,16,160754,The Frogs/Evening Primrose (2001 Studio Cast Recording) by Stephen Sondheim,52,4813
La Cage Aux Folles '04,275385,229,33,330514,La Cage Aux Folles (Original Cast Recording) by Jerry Herman,43,3676
Pacific Overtures,71420,69,12,289913,Pacific Overtures (Original Broadway Cast Recording) by Stephen Sondheim,42,5322
Dirty Rotten Scoundrels,808025,627,83,333106,Dirty Rotten Scoundrels: Original Broadway Cast Recording by Dirty Rotten Scoundrels,53,5327
All Shook Up,298652,213,32,711757,All Shook Up (Original Broadway Cast Recording) by Original Broadway Cast of All Shook Up,37,5927
Monty Python'S Spamalot,2075781,1575,202,157781,Monty Python's Spamalot (Original Broadway Cast) by Eric Idle,57,4461
The Light In The Piazza,420433,504,68,161249,The Light in the Piazza (Original Broadway Cast) by Adam Guettel,48,3551
Chitty Chitty Bang Bang,426915,285,41,447822,Chitty Chitty Bang Bang (Original Cast Soundtrack) by Sherman Brothers,43,2730
Sweet Charity 05,300014,279,38,862935,Sweet Charity (Original Broadway Cast Recording) by Original Broadway Cast of Sweet Charity,47,3176
The 25Th Annual Putnam County Spelling Bee,672139,1136,145,149578,25th Annual Putnam County Spelling Bee (Original Broadway Cast Recording) by Original Broadway Cast of The 25th Annual Putnam County Spelling Bee,50,4471
Jersey Boys,4971699,4466,565,990048,Jersey Boys (Music From the Motion Picture and Broadway Musical) by Various Artists,43,3831
Sweeney Todd 05,302836,349,48,160750,Sweeney Todd: The Demon Barber of Fleet Street (Original Cast Recording) by Stephen Sondheim,48,11832
The Woman In White,152490,109,17,161262,The Woman in White (Original London Cast Recording) by Andrew Lloyd Webber,45,14682
The Color Purple,1369564,910,119,161102,The Color Purple (2015 Broadway Cast Recording) by The Color Purple Broadway Cast,53,6829
The Threepenny Opera,98279,77,14,800518,"The Threepenny Opera (Original Off-Broadway Cast) by Jo Sullivan, Kurt Weill, & Lotte Lenya",57,4317
The Wedding Singer,301613,285,40,449494,The Wedding Singer {Original Broadway Cast} by Wedding Singer Ensemble,53,5542
The Drowsy Chaperone,865975,674,89,326753,The Drowsy Chaperone (Original Broadway Cast Recording) by Lisa Lambert & Greg Morrison,55,4703
A Chorus Line '06,674359,759,97,336692,A Chorus Line (Original Broadway Cast) by Original Broadway Cast of A Chorus Line,41,4709
Grey Gardens,234344,307,43,313604,Grey Gardens Original  Broadway Cast Recording by Michael Korie & Scott Frankel,58,7002
Mary Poppins,3878444,2619,334,387438,Mary Poppins (Original London Cast) by Original London Cast of Mary Poppins,52,6355
Les Miserables 2006,465661,463,61,151982,Les Miserables Live! The 2010 Cast Album by Claude-Michel Schönberg,50,13934
Company 06,179752,246,35,108412,Company (Original Broadway Cast) by Stephen Sondheim,41,5173
Spring Awakening,767167,859,112,327549,Spring Awakening (Original Broadway Cast Recording) by Spring Awakening Original Broadway Cast,42,5056
Curtains,582455,511,68,824950,Curtains the Musical Original Broadway Cast Recording by Original Broadway Cast of Curtains,51,2716
The Pirate Queen,149476,85,15,304731,The Pirate Queen (Original Broadway Cast Recording) by Claude-Michel Schönberg,56,441
Legally Blonde,814072,595,79,159067,Legally Blonde the Musical (Original Broadway Cast Recording) by Various Artists,47,9500
Lovemusik,41203,60,11,325218,LoveMusik by Original Broadway Cast of LoveMusik,55,359
110 In The Shade,98213,94,15,359263,110 in the Shade (2007 Broadway Revival) by 110 in the Shade 2007 Broadway Revival Cast,45,6060
Xanadu,240985,512,71,313728,Xanadu (Original Broadway Cast Recording) by Jeff Lynne,40,3504
Grease 07,551325,554,74,309781,Grease Live! (Music From The Television Event) by Grease Live Cast,43,4169
Young Frankenstein,702449,485,65,295423,Young Frankenstein (Original Broadway Cast Recording) by Mel Brooks,52,5834
The Little Mermaid,986179,685,94,289904,The Little Mermaid (Original Broadway Cast Recording)  by Original Broadway Cast of The Little Mermaid,57,7126
Sunday In The Park With George '08,156964,149,23,86570,Sunday in the Park with George (Original Cast Recording) by Stephen Sondheim,48,6366
In The Heights,1322889,1184,152,32067,In The Heights (Original Broadway Cast Recording) by Lin-Manuel Miranda,50,12221
South Pacific,965647,996,130,691933,South Pacific (Original Broadway Cast Recording) (2009 Reissue) by The Original Broadway Cast of South Pacific,45,3210
Gypsy '08,441949,332,45,160748,Gypsy (Original Broadway Cast Recording) by Jule Styne,50,3755
A Catered Affair,95542,116,18,656746,A Catered Affair (Original Broadway Cast Recording) by John Bucchino,57,5782
Glory Days,3719,1,3,380179,Glory Days (Original Broadway Cast Album) by Original Broadway Cast of Glory Days,48,4735
Title Of Show,47894,102,15,318589,[title of show] (Original Cast Recording) by Jeff Bowen,48,6295
Billy Elliot: The Musical,1787108,1312,171,336693,Billy Elliot: The Musical (Original London Cast Recording) by Elton John,42,5386
Shrek The Musical,606280,441,61,345970,Shrek: The Musical (Original Broadway Cast Recording) by Original Broadway Cast of Shrek: The Musical,47,7038
Pal Joey,103821,85,16,325125,Pal Joey (1950 Studio Cast Recording) by Rodgers & Hart,55,927
Guys And Dolls '09,152117,121,19,336465,Guys and Dolls (New Broadway Cast Recording) by Frank Loesser,44,4128
The Story Of My Life,6628,5,3,761672,"The Story of My Life (Original Broadway Cast Recording) by Original Broadway Cast of ""The Story of My Life""",50,7977
West Side Story,1074462,748,97,24749,West Side Story (Original 1957 Broadway Cast Recording) by Leonard Bernstein & Stephen Sondheim,44,3156
Hair,613014,519,69,309169,Hairspray Live! (NBC Television Event Original Soundtrack) by Original Television Cast of Hairspray Live!,46,7430
Rock Of Ages,1476025,2328,295,485516,Rock Of Ages (Original Broadway Cast Recording) by Original Broadway Cast of Rock Of Ages,44,4651
Next To Normal,473884,733,95,351346,Next to Normal (Original Broadway Cast Recording) by Original Broadway Cast of Next To Normal,49,8499
9 To 5,218823,148,22,324901,9 to 5: The Musical (Original Broadway Cast Recording) by 9 to 5 Original Broadway Cast,45,5788
Bye Bye Birdie,152597,117,20,289908,Bye Bye Birdie (Original Broadway Cast Recording) by Original Broadway Cast of Bye Bye Birdie,46,3649
Ragtime '09,92587,65,12,327563,Ragtime: The Musical (Original Broadway Cast Recording) by Original Broadway Cast of Ragtime: The Musical,51,11486
A Little Night Music,368614,425,56,119719,A Little Night Music (Original Broadway Cast Recording) by Stephen Sondheim,47,5618
The Addams Family,920997,722,95,161421,The Addams Family (Original Broadway Cast) by Andrew Lippa,51,5153
Sondheim On Sondheim,89781,76,15,304439,Sondheim on Sondheim (Original Broadway Cast Recording) by Various Artists,54,11675
American Idiot,510723,422,57,142484,American Idiot: The Original Broadway Cast Recording by Green Day,45,6567
"Promises, Promises",475458,289,41,454593,"Promises, Promises (Original Broadway Cast Recording) by Burt Bacharach",46,3027
