ShowName,Attendance,NumPerformances,WeeksPerformed
Burn The Floor,145582,185,25
Bye Bye Birdie,152597,117,20
Memphis,1380731,1165,150
Finian'S Rainbow,132659,92,15
Fela!,428660,463,63
Ragtime '09,92587,65,12
Irving Berlin'S White Christmas '09,70716,51,8
A Little Night Music,368614,425,56
All About Me,26494,20,6
Come Fly Away,218299,188,27
Million Dollar Quartet,379726,489,66
The Addams Family,920997,722,95
Sondheim On Sondheim,89781,76,15
American Idiot,510723,422,57
"Promises, Promises",475458,289,41
La Cage Aux Folles '10,347661,433,56
Everyday Rapture,53366,85,12
Bloody Bloody Andrew Jackson,91636,94,15
The Scottsboro Boys,52266,49,10
Women On The Verge Of A Nervous Breakdown,73822,69,13
Rain: A Tribute To The Beatles On Broadway,260709,300,38
Elf,91840,57,9
Spider-Man Turn Off The Dark,2068468,1066,160
How To Succeed In Business Without Really Trying '11,628957,473,65
The Book Of Mormon,2497551,2258,286
Priscilla Queen Of The Desert,616609,526,69
Anything Goes '11,515954,521,70
Catch Me If You Can,242671,166,26
Baby It'S You!,159952,148,24
Sister Act,721574,561,75
Wonderland,84646,33,8
The People In The Picture,56633,60,12
Hair '11,69713,67,10
Follies '11,216360,152,25
Godspell,160892,264,37
Bonnie And Clyde,56138,36,9
Lysistrata Jones,39217,30,9
On A Clear Day You Can See Forever,88565,57,12
Porgy And Bess '11,293984,293,41
Jesus Christ Superstar '12,141223,116,18
Once,1082027,1168,149
Evita,474853,337,46
Ghost,186851,136,23
Newsies,1156757,1004,128
Nice Work If You Can Get It,543472,478,64
Leap Of Faith,50021,19,6
Bring It On The Musical,180680,171,25
Fela! '12,28741,28,4
Chaplin,118148,135,20
Annie '12,677853,487,66
Scandalous,42216,29,9
The Mystery Of Edwin Drood '12,122792,136,21
Elf '12,85472,74,9
A Christmas Story,82008,51,7
Cinderella,1039923,769,102
Hands On A Hardbody,41856,28,8
Kinky Boots,1779797,1402,181
Matilda,1885281,1394,180
Motown The Musical,1063474,738,97
Pippin,659865,709,94
Jekyll & Hyde '13,39385,30,6
First Date,159061,174,26
Soul Doctor,51690,66,13
Big Fish,146730,98,17
A Night With Janis Joplin,90089,140,21
After Midnight,244603,273,37
A Gentleman'S Guide To Love And Murder,741199,896,116
Beautiful,1092739,1080,143
The Bridges Of Madison County,101215,100,18
Rocky,235400,180,27
Aladdin,1753035,1008,129
Les Miserables '14,1176491,1000,129
If/Then,453766,401,54
Bullets Over Broadway,226497,156,24
Cabaret '14,350148,388,54
Hedwig And The Angry Inch,459696,507,77
Violet,94762,128,20
Holler If Ya Hear Me,37161,38,7
On The Town 2014,463044,368,51
The Last Ship,131411,105,17
Side Show 2014,73844,56,10
Honeymoon In Vegas,117945,93,20
On The Twentieth Century,123479,144,23
An American In Paris,799029,559,75
Finding Neverland,713876,557,75
The King And I 2015,494187,499,68
Gigi,96860,86,14
It Shoulda Been You,122504,135,21
Doctor Zhivago,54370,23,7
Fun Home,394799,551,73
Something Rotten!,709531,548,73
The Visit 2015,53725,61,12
Amazing Grace,92670,116,18
Hamilton,608917,428,57
Spring Awakening 2015,119258,135,20
Dames At Sea,45367,85,15
Allegiance,113152,111,19
On Your Feet!,433688,322,45
School Of Rock,421721,288,40
The Color Purple 2015,300874,282,40
Fiddler On The Roof 2015,394590,271,39
Disaster!,70701,72,13
She Loves Me 2016,145633,132,21
Bright Star,111483,109,18
Shuffle Along,131619,100,19
American Psycho,72358,54,11
Waitress,168752,129,21
Tuck Everlasting,59117,39,9
Paramour,182511,94,18
Cats 2016,43019,17,5
Motown The Musical 2016,19902,24,3
